trip_dayAndHour,trip_counts
01/21/2016 22,12
01/21/2016 23,6
01/22/2016 00,7
01/22/2016 01,2
01/22/2016 05,2
01/22/2016 06,3
01/22/2016 07,27
01/22/2016 08,40
01/22/2016 09,45
01/22/2016 10,21
01/22/2016 11,17
01/22/2016 12,18
01/22/2016 13,17
01/22/2016 14,23
01/22/2016 15,26
01/22/2016 16,37
01/22/2016 17,29
01/22/2016 18,50
01/22/2016 19,17
01/22/2016 20,22
01/22/2016 21,10
01/22/2016 22,6
01/22/2016 23,6
01/23/2016 00,4
01/23/2016 01,3
01/23/2016 02,2
01/23/2016 06,1
01/23/2016 07,1
01/23/2016 08,9
01/23/2016 09,8
01/23/2016 10,15
01/23/2016 11,24
01/23/2016 12,16
01/23/2016 13,25
01/23/2016 14,15
01/23/2016 15,13
01/23/2016 16,8
01/23/2016 17,6
01/23/2016 18,5
01/23/2016 19,1
01/23/2016 20,1
01/23/2016 21,1
01/23/2016 23,1
01/24/2016 00,1
01/24/2016 01,2
01/24/2016 02,1
01/24/2016 03,2
01/24/2016 06,1
01/24/2016 08,2
01/24/2016 09,7
01/24/2016 10,9
01/24/2016 11,7
01/24/2016 12,15
01/24/2016 13,16
01/24/2016 14,18
01/24/2016 15,18
01/24/2016 16,11
01/24/2016 17,22
01/24/2016 18,16
01/24/2016 19,16
01/24/2016 20,10
01/24/2016 21,10
01/24/2016 22,5
01/24/2016 23,4
01/25/2016 00,4
01/25/2016 01,3
01/25/2016 05,1
01/25/2016 06,8
01/25/2016 07,19
01/25/2016 08,46
01/25/2016 09,38
01/25/2016 10,11
01/25/2016 11,17
01/25/2016 12,18
01/25/2016 13,16
01/25/2016 14,21
01/25/2016 15,28
01/25/2016 16,45
01/25/2016 17,57
01/25/2016 18,50
01/25/2016 19,27
01/25/2016 20,16
01/25/2016 21,17
01/25/2016 22,18
01/25/2016 23,3
01/26/2016 00,2
01/26/2016 01,1
01/26/2016 02,1
01/26/2016 05,1
01/26/2016 06,4
01/26/2016 07,29
01/26/2016 08,48
01/26/2016 09,50
01/26/2016 10,35
01/26/2016 11,32
01/26/2016 12,25
01/26/2016 13,25
01/26/2016 14,27
01/26/2016 15,31
01/26/2016 16,33
01/26/2016 17,63
01/26/2016 18,57
01/26/2016 19,33
01/26/2016 20,33
01/26/2016 21,25
01/26/2016 22,7
01/26/2016 23,6
01/27/2016 00,1
01/27/2016 01,3
01/27/2016 02,1
01/27/2016 05,3
01/27/2016 06,7
01/27/2016 07,26
01/27/2016 08,59
01/27/2016 09,52
01/27/2016 10,33
01/27/2016 11,41
01/27/2016 12,35
01/27/2016 13,24
01/27/2016 14,35
01/27/2016 15,25
01/27/2016 16,47
01/27/2016 17,65
01/27/2016 18,60
01/27/2016 19,43
01/27/2016 20,19
01/27/2016 21,22
01/27/2016 22,11
01/27/2016 23,8
01/28/2016 00,4
01/28/2016 01,1
01/28/2016 04,1
01/28/2016 05,1
01/28/2016 06,9
01/28/2016 07,26
01/28/2016 08,56
01/28/2016 09,57
01/28/2016 10,30
01/28/2016 11,28
01/28/2016 12,39
01/28/2016 13,32
01/28/2016 14,38
01/28/2016 15,34
01/28/2016 16,51
01/28/2016 17,64
01/28/2016 18,45
01/28/2016 19,41
01/28/2016 20,32
01/28/2016 21,17
01/28/2016 22,10
01/28/2016 23,1
01/29/2016 00,7
01/29/2016 03,2
01/29/2016 05,2
01/29/2016 06,14
01/29/2016 07,29
01/29/2016 08,59
01/29/2016 09,37
01/29/2016 10,22
01/29/2016 11,39
01/29/2016 12,33
01/29/2016 13,40
01/29/2016 14,28
01/29/2016 15,30
01/29/2016 16,50
01/29/2016 17,60
01/29/2016 18,57
