trip_dayAndHour,trip_counts
04/23/2016 15,293
04/23/2016 16,296
04/23/2016 17,304
04/23/2016 18,312
04/23/2016 19,191
04/23/2016 20,136
04/23/2016 21,96
04/23/2016 22,93
04/23/2016 23,54
04/24/2016 00,30
04/24/2016 01,36
04/24/2016 02,18
04/24/2016 03,5
04/24/2016 04,4
04/24/2016 05,1
04/24/2016 06,12
04/24/2016 07,24
04/24/2016 08,69
04/24/2016 09,128
04/24/2016 10,227
04/24/2016 11,214
04/24/2016 12,302
04/24/2016 13,308
04/24/2016 14,294
04/24/2016 15,298
04/24/2016 16,276
04/24/2016 17,308
04/24/2016 18,203
04/24/2016 19,169
04/24/2016 20,104
04/24/2016 21,103
04/24/2016 22,52
04/24/2016 23,37
04/25/2016 00,30
04/25/2016 01,3
04/25/2016 02,1
04/25/2016 03,2
04/25/2016 04,1
04/25/2016 05,22
04/25/2016 06,83
04/25/2016 07,228
04/25/2016 08,446
04/25/2016 09,240
04/25/2016 10,120
04/25/2016 11,125
04/25/2016 12,166
04/25/2016 13,146
04/25/2016 14,160
04/25/2016 15,214
04/25/2016 16,381
04/25/2016 17,547
04/25/2016 18,392
04/25/2016 19,247
04/25/2016 20,128
04/25/2016 21,102
04/25/2016 22,39
04/25/2016 23,42
04/26/2016 00,17
04/26/2016 01,17
04/26/2016 02,3
04/26/2016 03,2
04/26/2016 04,4
04/26/2016 05,13
04/26/2016 06,87
04/26/2016 07,238
04/26/2016 08,413
04/26/2016 09,197
04/26/2016 10,84
04/26/2016 11,38
04/26/2016 12,19
04/26/2016 13,30
04/26/2016 14,60
04/26/2016 15,85
04/26/2016 16,157
04/26/2016 17,349
04/26/2016 18,270
04/26/2016 19,156
04/26/2016 20,119
04/26/2016 21,62
04/26/2016 22,48
04/26/2016 23,35
04/27/2016 00,20
04/27/2016 01,8
04/27/2016 02,6
04/27/2016 03,3
04/27/2016 04,1
04/27/2016 05,18
04/27/2016 06,98
04/27/2016 07,270
04/27/2016 08,452
04/27/2016 09,253
04/27/2016 10,168
04/27/2016 11,150
04/27/2016 12,176
04/27/2016 13,184
04/27/2016 14,197
04/27/2016 15,259
04/27/2016 16,357
04/27/2016 17,634
04/27/2016 18,433
04/27/2016 19,239
04/27/2016 20,147
04/27/2016 21,83
04/27/2016 22,91
04/27/2016 23,32
04/28/2016 00,23
04/28/2016 01,11
04/28/2016 02,3
04/28/2016 03,2
04/28/2016 04,2
04/28/2016 05,13
04/28/2016 06,100
04/28/2016 07,282
04/28/2016 08,461
04/28/2016 09,291
04/28/2016 10,147
04/28/2016 11,161
04/28/2016 12,214
04/28/2016 13,219
04/28/2016 14,226
04/28/2016 15,233
04/28/2016 16,385
04/28/2016 17,550
04/28/2016 18,398
04/28/2016 19,228
04/28/2016 20,136
04/28/2016 21,85
04/28/2016 22,80
04/28/2016 23,46
04/29/2016 00,38
04/29/2016 01,14
04/29/2016 02,5
04/29/2016 03,2
04/29/2016 04,4
04/29/2016 05,15
04/29/2016 06,91
04/29/2016 07,271
04/29/2016 08,463
04/29/2016 09,269
04/29/2016 10,200
04/29/2016 11,183
04/29/2016 12,260
04/29/2016 13,200
04/29/2016 14,222
04/29/2016 15,263
04/29/2016 16,423
04/29/2016 17,514
04/29/2016 18,332
04/29/2016 19,176
04/29/2016 20,119
04/29/2016 21,94
04/29/2016 22,73
04/29/2016 23,60
04/30/2016 00,28
04/30/2016 01,35
04/30/2016 02,17
04/30/2016 03,11
04/30/2016 04,6
04/30/2016 05,4
04/30/2016 06,10
04/30/2016 07,33
04/30/2016 08,104
04/30/2016 09,148
04/30/2016 10,202
04/30/2016 11,260
04/30/2016 12,289
04/30/2016 13,339
04/30/2016 14,350
04/30/2016 15,341
04/30/2016 16,324
04/30/2016 17,314
04/30/2016 18,240
04/30/2016 19,184
04/30/2016 20,119
04/30/2016 21,79
04/30/2016 22,90
04/30/2016 23,58
05/01/2016 00,34
05/01/2016 01,41
05/01/2016 02,16
05/01/2016 03,4
05/01/2016 04,2
05/01/2016 05,5
05/01/2016 06,15
05/01/2016 07,28
05/01/2016 08,70
05/01/2016 09,118
05/01/2016 10,157
05/01/2016 11,188
05/01/2016 12,162
05/01/2016 13,165
05/01/2016 14,157
05/01/2016 15,178
05/01/2016 16,190
05/01/2016 17,173
05/01/2016 18,105
05/01/2016 19,56
05/01/2016 20,33
05/01/2016 21,20
05/01/2016 22,33
05/01/2016 23,34
05/02/2016 00,8
05/02/2016 01,7
05/02/2016 02,3
05/02/2016 03,1
05/02/2016 04,5
05/02/2016 05,19
05/02/2016 06,66
05/02/2016 07,138
05/02/2016 08,288
05/02/2016 09,177
05/02/2016 10,82
05/02/2016 11,66
05/02/2016 12,31
05/02/2016 13,31
05/02/2016 14,48
05/02/2016 15,57
05/02/2016 16,163
05/02/2016 17,322
05/02/2016 18,211
05/02/2016 19,149
05/02/2016 20,88
05/02/2016 21,68
05/02/2016 22,58
05/02/2016 23,24
05/03/2016 00,11
05/03/2016 01,9
05/03/2016 02,9
05/03/2016 03,4
05/03/2016 04,3
05/03/2016 05,5
05/03/2016 06,27
05/03/2016 07,82
05/03/2016 08,164
05/03/2016 09,133
05/03/2016 10,73
05/03/2016 11,70
05/03/2016 12,73
05/03/2016 13,86
05/03/2016 14,84
05/03/2016 15,133
05/03/2016 16,255
05/03/2016 17,407
05/03/2016 18,306
05/03/2016 19,154
05/03/2016 20,96
05/03/2016 21,80
05/03/2016 22,60
05/03/2016 23,39
05/04/2016 00,15
05/04/2016 01,11
05/04/2016 02,5
05/04/2016 03,9
05/04/2016 04,5
05/04/2016 05,22
05/04/2016 06,96
05/04/2016 07,268
05/04/2016 08,465
05/04/2016 09,247
05/04/2016 10,147
05/04/2016 11,134
05/04/2016 12,152
05/04/2016 13,147
05/04/2016 14,155
05/04/2016 15,136
05/04/2016 16,289
05/04/2016 17,314
05/04/2016 18,101
05/04/2016 19,35
05/04/2016 20,29
05/04/2016 21,18
05/04/2016 22,33
05/04/2016 23,22
05/05/2016 00,16
05/05/2016 01,10
05/05/2016 02,3
05/05/2016 03,6
05/05/2016 04,8
05/05/2016 05,17
05/05/2016 06,63
05/05/2016 07,171
05/05/2016 08,321
05/05/2016 09,208
05/05/2016 10,114
05/05/2016 11,104
05/05/2016 12,98
05/05/2016 13,131
05/05/2016 14,100
05/05/2016 15,162
05/05/2016 16,123
05/05/2016 17,250
05/05/2016 18,173
05/05/2016 19,110
05/05/2016 20,64
05/05/2016 21,38
05/05/2016 22,40
05/05/2016 23,35
05/06/2016 00,11
05/06/2016 01,13
05/06/2016 02,8
05/06/2016 03,5
05/06/2016 04,7
05/06/2016 05,16
05/06/2016 06,92
05/06/2016 07,262
05/06/2016 08,404
05/06/2016 09,209
05/06/2016 10,125
05/06/2016 11,174
05/06/2016 12,184
05/06/2016 13,218
05/06/2016 14,188
05/06/2016 15,217
05/06/2016 16,343
05/06/2016 17,477
05/06/2016 18,278
05/06/2016 19,169
05/06/2016 20,85
05/06/2016 21,67
05/06/2016 22,44
05/06/2016 23,26
05/07/2016 00,22
05/07/2016 01,23
05/07/2016 02,20
05/07/2016 03,6
05/07/2016 04,6
05/07/2016 05,4
05/07/2016 06,6
05/07/2016 07,21
05/07/2016 08,62
05/07/2016 09,84
05/07/2016 10,153
05/07/2016 11,170
05/07/2016 12,185
05/07/2016 13,185
05/07/2016 14,198
05/07/2016 15,169
05/07/2016 16,182
05/07/2016 17,163
05/07/2016 18,130
05/07/2016 19,131
05/07/2016 20,85
05/07/2016 21,58
05/07/2016 22,46
05/07/2016 23,44
05/08/2016 00,50
05/08/2016 01,21
05/08/2016 02,23
05/08/2016 03,3
05/08/2016 04,2
05/08/2016 05,6
05/08/2016 06,9
05/08/2016 07,24
05/08/2016 08,58
05/08/2016 09,94
05/08/2016 10,134
05/08/2016 11,96
05/08/2016 12,82
05/08/2016 13,123
05/08/2016 14,150
05/08/2016 15,217
05/08/2016 16,228
05/08/2016 17,208
05/08/2016 18,186
05/08/2016 19,133
05/08/2016 20,81
05/08/2016 21,56
05/08/2016 22,42
05/08/2016 23,40
05/09/2016 00,18
05/09/2016 01,4
05/09/2016 02,2
05/09/2016 03,1
05/09/2016 04,3
05/09/2016 05,16
05/09/2016 06,101
05/09/2016 07,269
05/09/2016 08,455
05/09/2016 09,232
05/09/2016 10,111
05/09/2016 11,154
05/09/2016 12,193
05/09/2016 13,164
05/09/2016 14,177
05/09/2016 15,202
05/09/2016 16,323
05/09/2016 17,588
05/09/2016 18,422
05/09/2016 19,280
05/09/2016 20,144
05/09/2016 21,86
05/09/2016 22,72
05/09/2016 23,41
05/10/2016 00,19
05/10/2016 01,7
05/10/2016 02,5
05/10/2016 03,4
05/10/2016 04,2
05/10/2016 05,27
05/10/2016 06,119
05/10/2016 07,354
05/10/2016 08,538
05/10/2016 09,255
05/10/2016 10,158
05/10/2016 11,198
05/10/2016 12,227
05/10/2016 13,220
05/10/2016 14,212
05/10/2016 15,243
05/10/2016 16,408
05/10/2016 17,663
05/10/2016 18,464
05/10/2016 19,331
05/10/2016 20,177
05/10/2016 21,131
05/10/2016 22,90
05/10/2016 23,36
05/11/2016 00,22
05/11/2016 01,15
05/11/2016 02,4
05/11/2016 03,6
05/11/2016 05,23
05/11/2016 06,125
05/11/2016 07,374
05/11/2016 08,587
05/11/2016 09,281
05/11/2016 10,150
05/11/2016 11,213
05/11/2016 12,236
05/11/2016 13,216
05/11/2016 14,221
05/11/2016 15,281
05/11/2016 16,481
05/11/2016 17,716
05/11/2016 18,528
05/11/2016 19,387
05/11/2016 20,216
05/11/2016 21,150
05/11/2016 22,145
05/11/2016 23,65
05/12/2016 00,25
05/12/2016 01,17
05/12/2016 02,10
05/12/2016 04,8
05/12/2016 05,23
05/12/2016 06,140
05/12/2016 07,397
05/12/2016 08,586
05/12/2016 09,325
05/12/2016 10,179
05/12/2016 11,232
05/12/2016 12,258
05/12/2016 13,242
05/12/2016 14,246
05/12/2016 15,306
05/12/2016 16,506
05/12/2016 17,772
05/12/2016 18,550
05/12/2016 19,323
05/12/2016 20,203
05/12/2016 21,125
05/12/2016 22,159
05/12/2016 23,78
05/13/2016 00,35
05/13/2016 01,23
05/13/2016 02,8
05/13/2016 03,5
05/13/2016 04,5
05/13/2016 05,22
05/13/2016 06,146
05/13/2016 07,329
05/13/2016 08,599
05/13/2016 09,329
05/13/2016 10,211
05/13/2016 11,209
05/13/2016 12,258
05/13/2016 13,284
05/13/2016 14,280
05/13/2016 15,277
05/13/2016 16,483
05/13/2016 17,498
05/13/2016 18,330
05/13/2016 19,94
05/13/2016 20,53
05/13/2016 21,46
05/13/2016 22,25
05/13/2016 23,29
05/14/2016 00,18
05/14/2016 01,16
05/14/2016 02,31
05/14/2016 03,4
05/14/2016 04,7
05/14/2016 05,9
05/14/2016 06,21
05/14/2016 07,49
05/14/2016 08,125
05/14/2016 09,201
05/14/2016 10,328
05/14/2016 11,407
05/14/2016 12,512
05/14/2016 13,434
05/14/2016 14,452
05/14/2016 15,414
05/14/2016 16,469
05/14/2016 17,406
05/14/2016 18,306
05/14/2016 19,284
05/14/2016 20,174
05/14/2016 21,131
05/14/2016 22,111
05/14/2016 23,64
05/15/2016 00,52
05/15/2016 01,41
05/15/2016 02,41
05/15/2016 03,10
05/15/2016 04,6
05/15/2016 05,7
05/15/2016 06,17
05/15/2016 07,29
05/15/2016 08,86
05/15/2016 09,125
05/15/2016 10,171
05/15/2016 11,237
05/15/2016 12,261
05/15/2016 13,296
05/15/2016 14,311
05/15/2016 15,339
05/15/2016 16,265
05/15/2016 17,207
05/15/2016 18,175
05/15/2016 19,123
05/15/2016 20,81
05/15/2016 21,58
05/15/2016 22,42
05/15/2016 23,25
05/16/2016 00,15
05/16/2016 01,7
05/16/2016 02,2
05/16/2016 03,3
05/16/2016 04,5
05/16/2016 05,22
05/16/2016 06,109
05/16/2016 07,271
05/16/2016 08,479
05/16/2016 09,229
05/16/2016 10,119
05/16/2016 11,131
05/16/2016 12,173
05/16/2016 13,153
05/16/2016 14,169
05/16/2016 15,205
05/16/2016 16,343
05/16/2016 17,614
05/16/2016 18,395
05/16/2016 19,242
05/16/2016 20,157
05/16/2016 21,98
05/16/2016 22,63
05/16/2016 23,56
05/17/2016 00,24
05/17/2016 01,17
05/17/2016 02,4
05/17/2016 03,3
05/17/2016 04,7
05/17/2016 05,34
05/17/2016 06,150
05/17/2016 07,368
05/17/2016 08,560
05/17/2016 09,316
05/17/2016 10,159
05/17/2016 11,199
05/17/2016 12,246
05/17/2016 13,248
05/17/2016 14,237
05/17/2016 15,271
05/17/2016 16,423
05/17/2016 17,672
05/17/2016 18,519
05/17/2016 19,329
05/17/2016 20,231
05/17/2016 21,131
05/17/2016 22,80
05/17/2016 23,47
05/18/2016 00,31
05/18/2016 01,16
05/18/2016 02,2
05/18/2016 03,3
05/18/2016 04,8
05/18/2016 05,28
05/18/2016 06,137
05/18/2016 07,371
05/18/2016 08,608
05/18/2016 09,322
05/18/2016 10,186
05/18/2016 11,223
05/18/2016 12,214
05/18/2016 13,211
05/18/2016 14,235
05/18/2016 15,295
05/18/2016 16,440
05/18/2016 17,715
05/18/2016 18,504
05/18/2016 19,293
05/18/2016 20,202
05/18/2016 21,165
05/18/2016 22,92
05/18/2016 23,62
05/19/2016 00,31
05/19/2016 01,17
05/19/2016 02,7
05/19/2016 03,1
05/19/2016 04,6
05/19/2016 05,27
05/19/2016 06,133
05/19/2016 07,355
05/19/2016 08,632
05/19/2016 09,287
05/19/2016 10,195
05/19/2016 11,225
05/19/2016 12,244
05/19/2016 13,261
05/19/2016 14,214
05/19/2016 15,295
05/19/2016 16,421
05/19/2016 17,677
05/19/2016 18,454
05/19/2016 19,290
05/19/2016 20,217
05/19/2016 21,133
05/19/2016 22,75
05/19/2016 23,32
05/20/2016 00,17
05/20/2016 01,21
05/20/2016 02,16
05/20/2016 03,10
05/20/2016 04,7
05/20/2016 05,28
05/20/2016 06,148
05/20/2016 07,342
05/20/2016 08,563
05/20/2016 09,298
05/20/2016 10,220
05/20/2016 11,241
05/20/2016 12,293
05/20/2016 13,293
05/20/2016 14,276
05/20/2016 15,314
05/20/2016 16,498
05/20/2016 17,661
05/20/2016 18,451
05/20/2016 19,276
05/20/2016 20,193
05/20/2016 21,143
05/20/2016 22,127
05/20/2016 23,85
05/21/2016 00,51
05/21/2016 01,47
05/21/2016 02,30
05/21/2016 03,6
05/21/2016 05,6
05/21/2016 06,22
05/21/2016 07,71
05/21/2016 08,123
05/21/2016 09,174
05/21/2016 10,251
05/21/2016 11,320
05/21/2016 12,380
05/21/2016 13,424
05/21/2016 14,407
05/21/2016 15,429
05/21/2016 16,381
05/21/2016 17,371
05/21/2016 18,287
05/21/2016 19,243
05/21/2016 20,149
05/21/2016 21,132
05/21/2016 22,106
05/21/2016 23,79
05/22/2016 00,56
05/22/2016 01,51
05/22/2016 02,38
05/22/2016 03,11
05/22/2016 04,1
05/22/2016 05,3
05/22/2016 06,18
05/22/2016 07,29
05/22/2016 08,98
05/22/2016 09,138
05/22/2016 10,197
05/22/2016 11,218
05/22/2016 12,273
05/22/2016 13,324
05/22/2016 14,283
05/22/2016 15,349
05/22/2016 16,304
05/22/2016 17,338
05/22/2016 18,283
05/22/2016 19,238
05/22/2016 20,180
05/22/2016 21,87
05/22/2016 22,103
05/22/2016 23,50
05/23/2016 00,24
05/23/2016 01,6
05/23/2016 02,4
05/23/2016 03,2
05/23/2016 04,2
05/23/2016 05,37
05/23/2016 06,145
05/23/2016 07,363
05/23/2016 08,544
05/23/2016 09,285
05/23/2016 10,209
05/23/2016 11,224
05/23/2016 12,267
05/23/2016 13,209
05/23/2016 14,248
05/23/2016 15,289
05/23/2016 16,479
05/23/2016 17,742
05/23/2016 18,486
05/23/2016 19,352
05/23/2016 20,200
05/23/2016 21,114
05/23/2016 22,60
05/23/2016 23,33
05/24/2016 00,20
05/24/2016 01,10
05/24/2016 02,9
05/24/2016 03,4
05/24/2016 04,5
05/24/2016 05,21
05/24/2016 06,62
05/24/2016 07,236
05/24/2016 08,256
05/24/2016 09,215
05/24/2016 10,135
05/24/2016 11,150
05/24/2016 12,166
05/24/2016 13,172
05/24/2016 14,160
05/24/2016 15,196
05/24/2016 16,360
05/24/2016 17,596
05/24/2016 18,402
05/24/2016 19,237
05/24/2016 20,157
05/24/2016 21,122
05/24/2016 22,80
05/24/2016 23,49
05/25/2016 00,16
05/25/2016 01,8
05/25/2016 02,6
05/25/2016 03,2
05/25/2016 04,7
05/25/2016 05,33
05/25/2016 06,167
05/25/2016 07,410
05/25/2016 08,606
05/25/2016 09,287
05/25/2016 10,215
05/25/2016 11,202
05/25/2016 12,311
05/25/2016 13,244
05/25/2016 14,264
05/25/2016 15,304
05/25/2016 16,507
05/25/2016 17,775
05/25/2016 18,534
05/25/2016 19,363
05/25/2016 20,239
05/25/2016 21,212
05/25/2016 22,166
05/25/2016 23,52
05/26/2016 00,27
05/26/2016 01,15
05/26/2016 02,12
05/26/2016 03,6
05/26/2016 04,5
05/26/2016 05,39
05/26/2016 06,178
05/26/2016 07,402
05/26/2016 08,604
05/26/2016 09,338
05/26/2016 10,202
05/26/2016 11,221
05/26/2016 12,278
05/26/2016 13,253
05/26/2016 14,243
05/26/2016 15,303
05/26/2016 16,486
05/26/2016 17,728
05/26/2016 18,524
05/26/2016 19,341
05/26/2016 20,240
05/26/2016 21,196
05/26/2016 22,148
05/26/2016 23,70
05/27/2016 00,38
05/27/2016 01,25
05/27/2016 02,19
05/27/2016 03,9
05/27/2016 04,11
05/27/2016 05,29
05/27/2016 06,136
05/27/2016 07,315
05/27/2016 08,548
05/27/2016 09,324
05/27/2016 10,242
05/27/2016 11,244
05/27/2016 12,341
05/27/2016 13,377
05/27/2016 14,350
05/27/2016 15,454
05/27/2016 16,521
05/27/2016 17,493
05/27/2016 18,402
05/27/2016 19,284
05/27/2016 20,191
05/27/2016 21,167
05/27/2016 22,117
05/27/2016 23,91
05/28/2016 00,54
05/28/2016 01,44
05/28/2016 02,32
05/28/2016 03,11
05/28/2016 04,4
05/28/2016 05,5
05/28/2016 06,29
05/28/2016 07,26
05/28/2016 08,108
05/28/2016 09,148
05/28/2016 10,272
05/28/2016 11,321
05/28/2016 12,384
05/28/2016 13,388
05/28/2016 14,353
05/28/2016 15,315
05/28/2016 16,323
05/28/2016 17,328
05/28/2016 18,304
05/28/2016 19,242
05/28/2016 20,184
05/28/2016 21,175
05/28/2016 22,126
05/28/2016 23,82
05/29/2016 00,60
05/29/2016 01,46
05/29/2016 02,33
05/29/2016 03,6
05/29/2016 04,10
05/29/2016 05,23
05/29/2016 06,41
05/29/2016 07,52
05/29/2016 08,95
05/29/2016 09,160
05/29/2016 10,238
05/29/2016 11,285
05/29/2016 12,311
05/29/2016 13,362
05/29/2016 14,333
05/29/2016 15,370
05/29/2016 16,346
05/29/2016 17,279
05/29/2016 18,274
05/29/2016 19,200
05/29/2016 20,160
05/29/2016 21,105
05/29/2016 22,82
05/29/2016 23,49
05/30/2016 00,33
05/30/2016 01,18
05/30/2016 02,12
05/30/2016 03,2
05/30/2016 05,2
05/30/2016 06,3
05/30/2016 07,11
05/30/2016 08,12
05/30/2016 09,37
05/30/2016 10,49
05/30/2016 11,46
05/30/2016 12,109
05/30/2016 13,228
05/30/2016 14,273
05/30/2016 15,313
05/30/2016 16,279
05/30/2016 17,335
05/30/2016 18,257
05/30/2016 19,234
05/30/2016 20,167
05/30/2016 21,131
05/30/2016 22,75
05/30/2016 23,82
05/31/2016 00,35
05/31/2016 01,11
05/31/2016 02,2
05/31/2016 03,7
05/31/2016 04,1
05/31/2016 05,30
05/31/2016 06,166
05/31/2016 07,370
05/31/2016 08,576
05/31/2016 09,367
05/31/2016 10,206
05/31/2016 11,215
05/31/2016 12,311
05/31/2016 13,245
05/31/2016 14,235
05/31/2016 15,284
05/31/2016 16,518
05/31/2016 17,749
05/31/2016 18,593
05/31/2016 19,376
05/31/2016 20,280
05/31/2016 21,186
05/31/2016 22,114
05/31/2016 23,57
06/01/2016 00,25
06/01/2016 01,9
06/01/2016 02,4
06/01/2016 03,13
06/01/2016 04,6
06/01/2016 05,38
06/01/2016 06,211
06/01/2016 07,417
06/01/2016 08,653
06/01/2016 09,366
06/01/2016 10,191
06/01/2016 11,200
06/01/2016 12,257
06/01/2016 13,243
06/01/2016 14,253
06/01/2016 15,321
06/01/2016 16,537
06/01/2016 17,790
06/01/2016 18,511
06/01/2016 19,360
06/01/2016 20,280
06/01/2016 21,168
06/01/2016 22,103
06/01/2016 23,61
06/02/2016 00,30
06/02/2016 01,11
06/02/2016 02,4
06/02/2016 03,4
06/02/2016 04,5
06/02/2016 05,36
06/02/2016 06,190
06/02/2016 07,414
06/02/2016 08,635
06/02/2016 09,329
06/02/2016 10,193
06/02/2016 11,231
06/02/2016 12,256
06/02/2016 13,264
06/02/2016 14,260
06/02/2016 15,333
06/02/2016 16,489
06/02/2016 17,693
06/02/2016 18,448
06/02/2016 19,303
06/02/2016 20,148
06/02/2016 21,107
06/02/2016 22,89
06/02/2016 23,61
06/03/2016 00,26
06/03/2016 01,16
06/03/2016 02,10
06/03/2016 03,4
06/03/2016 04,4
06/03/2016 05,31
06/03/2016 06,137
06/03/2016 07,323
06/03/2016 08,520
06/03/2016 09,311
06/03/2016 10,200
06/03/2016 11,200
06/03/2016 12,291
06/03/2016 13,252
06/03/2016 14,273
06/03/2016 15,369
06/03/2016 16,496
06/03/2016 17,614
06/03/2016 18,450
06/03/2016 19,283
06/03/2016 20,201
06/03/2016 21,172
06/03/2016 22,155
06/03/2016 23,111
06/04/2016 00,63
06/04/2016 01,68
06/04/2016 02,30
06/04/2016 03,4
06/04/2016 04,9
06/04/2016 05,12
06/04/2016 06,25
06/04/2016 07,49
06/04/2016 08,113
06/04/2016 09,175
06/04/2016 10,252
06/04/2016 11,346
06/04/2016 12,388
06/04/2016 13,415
06/04/2016 14,440
06/04/2016 15,431
06/04/2016 16,395
06/04/2016 17,382
06/04/2016 18,342
06/04/2016 19,301
06/04/2016 20,292
06/04/2016 21,216
06/04/2016 22,147
06/04/2016 23,97
06/05/2016 00,75
06/05/2016 01,77
06/05/2016 02,54
06/05/2016 03,12
06/05/2016 04,7
06/05/2016 05,7
06/05/2016 06,23
06/05/2016 07,33
06/05/2016 08,79
06/05/2016 09,100
06/05/2016 10,59
06/05/2016 11,108
06/05/2016 12,140
06/05/2016 13,143
06/05/2016 14,157
06/05/2016 15,196
06/05/2016 16,98
06/05/2016 17,50
06/05/2016 18,48
06/05/2016 19,46
06/05/2016 20,38
06/05/2016 21,21
06/05/2016 22,33
06/05/2016 23,32
06/06/2016 00,12
06/06/2016 01,10
06/06/2016 02,4
06/06/2016 03,2
06/06/2016 04,11
06/06/2016 05,31
06/06/2016 06,145
06/06/2016 07,376
06/06/2016 08,591
06/06/2016 09,295
06/06/2016 10,196
06/06/2016 11,188
06/06/2016 12,225
06/06/2016 13,235
06/06/2016 14,224
06/06/2016 15,300
06/06/2016 16,465
06/06/2016 17,770
06/06/2016 18,567
06/06/2016 19,397
06/06/2016 20,333
06/06/2016 21,214
06/06/2016 22,125
06/06/2016 23,50
06/07/2016 00,28
06/07/2016 01,13
06/07/2016 02,7
06/07/2016 03,11
06/07/2016 04,8
06/07/2016 05,41
06/07/2016 06,165
06/07/2016 07,416
06/07/2016 08,659
06/07/2016 09,328
06/07/2016 10,169
06/07/2016 11,181
06/07/2016 12,233
06/07/2016 13,210
06/07/2016 14,204
06/07/2016 15,268
06/07/2016 16,498
06/07/2016 17,755
06/07/2016 18,573
06/07/2016 19,367
06/07/2016 20,184
06/07/2016 21,66
06/07/2016 22,60
06/07/2016 23,36
06/08/2016 00,18
06/08/2016 01,7
06/08/2016 02,3
06/08/2016 03,7
06/08/2016 04,5
06/08/2016 05,39
06/08/2016 06,186
06/08/2016 07,437
06/08/2016 08,672
06/08/2016 09,327
06/08/2016 10,176
06/08/2016 11,184
06/08/2016 12,242
06/08/2016 13,248
06/08/2016 14,206
06/08/2016 15,292
06/08/2016 16,441
06/08/2016 17,722
06/08/2016 18,492
06/08/2016 19,352
06/08/2016 20,241
06/08/2016 21,166
06/08/2016 22,86
06/08/2016 23,65
06/09/2016 00,28
06/09/2016 01,10
06/09/2016 02,8
06/09/2016 03,7
06/09/2016 04,3
06/09/2016 05,21
06/09/2016 06,176
06/09/2016 07,412
06/09/2016 08,642
06/09/2016 09,319
06/09/2016 10,193
06/09/2016 11,210
06/09/2016 12,294
06/09/2016 13,269
06/09/2016 14,241
06/09/2016 15,300
06/09/2016 16,509
06/09/2016 17,771
06/09/2016 18,513
06/09/2016 19,309
06/09/2016 20,245
06/09/2016 21,122
06/09/2016 22,93
06/09/2016 23,63
06/10/2016 00,36
06/10/2016 01,11
06/10/2016 02,4
06/10/2016 03,5
06/10/2016 04,10
06/10/2016 05,16
06/10/2016 06,139
06/10/2016 07,357
06/10/2016 08,607
06/10/2016 09,311
06/10/2016 10,193
06/10/2016 11,251
06/10/2016 12,321
06/10/2016 13,303
06/10/2016 14,300
06/10/2016 15,360
06/10/2016 16,545
06/10/2016 17,631
06/10/2016 18,411
06/10/2016 19,350
06/10/2016 20,238
06/10/2016 21,181
06/10/2016 22,107
06/10/2016 23,66
06/11/2016 00,64
06/11/2016 01,46
06/11/2016 02,21
06/11/2016 03,7
06/11/2016 04,2
06/11/2016 05,10
06/11/2016 06,27
06/11/2016 07,62
06/11/2016 08,92
06/11/2016 09,167
06/11/2016 10,287
06/11/2016 11,330
06/11/2016 12,398
06/11/2016 13,148
06/11/2016 14,136
06/11/2016 15,220
06/11/2016 16,220
06/11/2016 17,247
06/11/2016 18,208
06/11/2016 19,175
06/11/2016 20,144
06/11/2016 21,105
06/11/2016 22,102
06/11/2016 23,92
06/12/2016 00,61
06/12/2016 01,49
06/12/2016 02,52
06/12/2016 03,8
06/12/2016 04,9
06/12/2016 05,24
06/12/2016 06,27
06/12/2016 07,42
06/12/2016 08,92
06/12/2016 09,168
06/12/2016 10,220
06/12/2016 11,333
06/12/2016 12,404
06/12/2016 13,431
06/12/2016 14,465
06/12/2016 15,313
06/12/2016 16,411
06/12/2016 17,295
06/12/2016 18,262
06/12/2016 19,179
06/12/2016 20,131
06/12/2016 21,84
06/12/2016 22,52
06/12/2016 23,44
06/13/2016 00,19
06/13/2016 01,15
06/13/2016 02,5
06/13/2016 03,2
06/13/2016 04,8
06/13/2016 05,31
06/13/2016 06,154
06/13/2016 07,381
06/13/2016 08,602
06/13/2016 09,289
06/13/2016 10,160
06/13/2016 11,164
06/13/2016 12,223
06/13/2016 13,220
06/13/2016 14,185
06/13/2016 15,289
06/13/2016 16,454
06/13/2016 17,803
06/13/2016 18,540
06/13/2016 19,360
06/13/2016 20,235
06/13/2016 21,129
06/13/2016 22,85
06/13/2016 23,52
06/14/2016 00,43
06/14/2016 01,4
06/14/2016 02,3
06/14/2016 03,6
06/14/2016 04,5
06/14/2016 05,47
06/14/2016 06,167
06/14/2016 07,433
06/14/2016 08,675
06/14/2016 09,349
06/14/2016 10,203
06/14/2016 11,186
06/14/2016 12,240
06/14/2016 13,243
06/14/2016 14,199
06/14/2016 15,281
06/14/2016 16,544
06/14/2016 17,824
06/14/2016 18,545
06/14/2016 19,370
06/14/2016 20,270
06/14/2016 21,181
06/14/2016 22,134
06/14/2016 23,72
06/15/2016 00,24
06/15/2016 01,19
06/15/2016 02,9
06/15/2016 03,9
06/15/2016 04,9
06/15/2016 05,36
06/15/2016 06,174
06/15/2016 07,443
06/15/2016 08,721
06/15/2016 09,318
06/15/2016 10,170
06/15/2016 11,264
06/15/2016 12,268
06/15/2016 13,247
06/15/2016 14,195
06/15/2016 15,292
06/15/2016 16,519
06/15/2016 17,811
